id,Producto,Cantidad,Precio_Unitario,Vendedor,Ciudad
1,Suzanne,35.28,9.99,Suzanne Crips,Stockton
2,Adelina,11.09,3.99,Adelina Petrasso,Zabukovica
3,George,30.67,39.99,George Garvie,Ciawi
4,Chauncey,77.91,19.99,Chauncey Vasyunkin,Monte de Fralães
5,Susan,64.63,2.99,Susan Roach,Xinglin
6,Nanon,26.41,29.99,Nanon Sandey,Dobšice
7,Lynna,96.36,29.99,Lynna Torns,Acopampa
8,Adriena,4.73,3.49,Adriena Sharland,Hengliang
9,Linet,32.63,5.99,Linet Lound,Sayaxché
10,Kelcy,24.04,29.99,Kelcy Folliss,Ndofane
11,Lek,49.48,58.99,Lek Dennerly,Kutum
12,Blake,94.64,18.99,Blake Ezzell,Mulong
13,Friederike,99.36,3.99,Friederike Boothe,Uga
14,Tilda,94.57,1.79,Tilda Tinston,Quỳ Châu
15,Lyle,51.43,2.49,Lyle Sidlow,Ghauspur
16,Noella,98.02,249.99,Noella McKernon,Patabog
17,Debra,1.43,19.99,Debra Brett,Guidong Chengguanzhen
18,Diego,13.99,199.99,Diego Fincher,Nangaroro
19,Rafaela,84.47,14.99,Rafaela Poultney,Bytkiv
20,Angelo,23.44,3.49,Angelo Beagan,Szemud
21,Hank,43.35,19.99,Hank Jolliss,Bindang
22,Kacey,49.16,8.49,Kacey Friedank,Caieiras
23,Gabie,10.55,149.99,Gabie Ready,Choco
24,Orsa,30.53,19.99,Orsa Haggart,Orion
25,Karel,9.63,39.99,Karel Yantsev,Balagui
26,Fernande,54.11,12.99,Fernande Siddell,Ayrihuanca
27,Matti,62.85,1.29,Matti Spatari,Cosmópolis
28,Jimmy,6.34,19.99,Jimmy Le-Good,Cartagena
29,Isabel,36.84,12.99,Isabel Leethem,Lai Lai Bisi Kopan
30,Toby,10.12,49.99,Toby Rathbourne,Wajak
31,Deborah,75.87,2.29,Deborah Dimond,Qaxbaş
32,Genovera,47.96,3.49,Genovera Bottrell,Oudtshoorn
33,Valida,4.19,54.99,Valida Tremontana,Flórina
34,Roley,68.89,14.99,Roley Gorman,Hepu
35,Rowney,46.82,79.99,Rowney O'Donoghue,Louguan
36,Yolanda,59.68,49.99,Yolanda Routh,Rupe
37,Odell,45.56,24.99,Odell McMeeking,Rabat
38,Tracey,67.75,34.99,Tracey Kleinlerer,San Juan de Planes
39,Pet,69.71,1.29,Pet Merigon,Jawf al Maqbābah
40,Nessi,1.48,2.49,Nessi Scaife,El Realejo
41,Iorgo,63.02,2.79,Iorgo Glasspool,Julcamarca
42,Clarance,16.89,45,Clarance Braunston,Penanggal
43,Dana,7.44,34.99,Dana Fulkes,Río de Jesús
44,Margarethe,95.58,19.99,Margarethe Ledger,Hola Prystan’
45,Merrielle,56.89,179.99,Merrielle Narrie,Nakanojōmachi
46,Emma,14.96,39.99,Emma Smartman,Ruokolahti
47,Shanie,58.19,89.99,Shanie Korb,Pasvalys
48,Adi,16.83,39.99,Adi Wyche,Sacotes
49,Guthrey,62.6,3.99,Guthrey Brainsby,Jeremi
50,Marieann,94.23,39.99,Marieann Francesch,Konso
51,Urbanus,29.53,24.99,Urbanus Olcot,Suez
52,Mart,70.72,12.99,Mart Burnet,Santo Domingo Este
53,Diann,53.04,3.19,Diann Hugonet,Kaindy
54,Sallyann,9.35,2.79,Sallyann Garthshore,Poncokusumo
55,Brett,66.96,3.29,Brett Semmens,München
56,Stoddard,97.15,79.99,Stoddard Pococke,Keffin Hausa
57,Giovanna,35.4,22.99,Giovanna Haldon,Skrwilno
58,Base,91.75,89.99,Base Larvor,San Pedro
59,Benyamin,51.48,12.99,Benyamin Johannes,Springfield
60,Laney,63.74,24.99,Laney Lamberts,Irbit
61,Neall,99.63,4.49,Neall McCallister,Atambua
62,Jenine,9.13,3.49,Jenine Joynson,Rāvar
63,Belvia,56.56,44.99,Belvia Goodredge,Patos
64,Cecilla,8.97,5.49,Cecilla Breinlein,Roscoff
65,Ben,92.15,119.99,Ben Jeannequin,Meghrashen
66,Josselyn,40.41,79.99,Josselyn Chapiro,Gatesville
67,Melania,85.17,2.49,Melania Andrysek,Petaling Jaya
68,Deana,41.75,4.99,Deana Drohun,Orós
69,Gearalt,46.16,1.79,Gearalt Winch,Tuluá
70,Norri,64.18,7.49,Norri Lace,Debe
71,Becka,26.5,44.99,Becka Downage,Doumen
72,Archy,65.54,4.49,Archy Lunge,Biaokou
73,Layne,8.22,3.79,Layne Larkin,Smołdzino
74,Marney,20.82,5.89,Marney Ceci,Kunshan
75,Gaston,49.04,19.99,Gaston Balling,Jacaraú
76,Rickey,99.19,5.99,Rickey Chudleigh,Mahuta
77,Tamar,98.76,18.99,Tamar Kemmet,Fayzabad
78,Bernette,11.64,2.49,Bernette Tallboy,Shīnḏanḏ
79,Ab,45.21,4.99,Ab Harfleet,Quimper
80,Pauletta,93.64,99.99,Pauletta Cotilard,Kedungringin
81,Valencia,13.66,19.99,Valencia Coomber,Pervomaysk
82,Morton,47.05,19.99,Morton Fordy,Ḩalabjah
83,Caldwell,18.94,3.79,Caldwell Mott,Boulder
84,Seymour,36.0,22.99,Seymour Blum,Gyigang
85,Bradly,43.57,39.99,Bradly Lascell,Baganha
86,Gerald,82.45,3.49,Gerald Barwick,Krajan
87,Conny,77.79,5.99,Conny Skerrett,Porciúncula
88,Archibold,44.47,22.99,Archibold Folland,Szamotuły
89,Abbe,76.37,2.99,Abbe Monnoyer,Järfälla
